date,project,volume
2023-04-05,biconomy,602672239.1609564
2023-04-06,biconomy,576067622.1665102
2023-04-07,biconomy,518834427.02485937
2023-04-08,biconomy,476177914.2152256
2023-04-09,biconomy,448707398.8282775
2023-04-10,biconomy,516023218.9585933
2023-04-11,biconomy,720508900.7789068
2023-04-12,biconomy,617617163.6795439
2023-04-13,biconomy,610566162.1811526
2023-04-14,biconomy,674488807.5093294
2023-04-15,biconomy,639854347.8532082
2023-04-16,biconomy,490801847.1104223
2023-04-17,biconomy,548774009.6036016
2023-04-18,biconomy,587098238.4507982
2023-04-19,biconomy,634973661.3628895
2023-04-20,biconomy,728857417.8903731
2023-04-21,biconomy,636782500.937513
2023-04-22,biconomy,631389860.7324325
2023-04-23,biconomy,516146364.2166479
2023-04-24,biconomy,517491351.5317627
2023-04-25,biconomy,562716022.8105512
2023-04-26,biconomy,561198340.6385213
2023-04-27,biconomy,672652321.7568026
2023-04-28,biconomy,432903353.5475636
2023-04-29,biconomy,338642046.26829296
2023-04-30,biconomy,232548883.41933185
2023-05-01,biconomy,307021965.4640678
2023-05-02,biconomy,270931493.4712257
2023-05-03,biconomy,277222361.75768423
2023-05-04,biconomy,279889332.763155
2023-05-05,biconomy,211874418.67614204
2023-05-06,biconomy,222073440.6725864
2023-05-07,biconomy,232695662.0427312
2023-05-08,biconomy,328115410.0104457
2023-05-09,biconomy,392736399.68795073
2023-05-10,biconomy,382097635.6776689
2023-05-11,biconomy,468654863.4231972
2023-05-12,biconomy,438889666.5334932
2023-05-13,biconomy,412273124.6442887
2023-05-14,biconomy,324705099.88051647
2023-05-15,biconomy,347271894.9975352
2023-05-16,biconomy,370405098.1046257
2023-05-17,biconomy,312618612.02134013
2023-05-18,biconomy,337834326.4658216
2023-05-19,biconomy,337000472.37449336
2023-05-20,biconomy,288531209.2850147
2023-05-21,biconomy,268913032.6735172
2023-05-22,biconomy,286911078.1306391
2023-05-23,biconomy,317344063.37911534
2023-05-24,biconomy,320561713.574337
2023-05-25,biconomy,319078545.983067
2023-05-26,biconomy,236970414.17993388
2023-05-27,biconomy,268855547.1456647
2023-05-28,biconomy,300601935.4980908
2023-05-29,biconomy,480241505.6235556
2023-05-30,biconomy,369076232.9800208
2023-05-31,biconomy,405656346.8587591
2023-06-01,biconomy,372667681.1518877
2023-06-02,biconomy,347953498.73932815
2023-06-03,biconomy,353230595.03009784
2023-06-04,biconomy,364868082.7721517
2023-06-05,biconomy,436467314.95708686
2023-06-06,biconomy,499095560.4306137
2023-06-07,biconomy,467893753.56020296
2023-06-08,biconomy,450741206.2625305
2023-06-09,biconomy,419033870.0059279
2023-06-10,biconomy,470491078.0336769
2023-06-11,biconomy,416768988.04976207
2023-06-12,biconomy,453949652.61362296
2023-06-13,biconomy,444089355.3691573
2023-06-14,biconomy,458101491.5100916
2023-06-15,biconomy,482584857.5764307
2023-06-16,biconomy,455619726.9190835
2023-06-17,biconomy,510193799.56847125
2023-06-18,biconomy,462417585.4582601
2023-06-19,biconomy,459386121.8467921
2023-06-20,biconomy,508394694.1225962
2023-06-21,biconomy,532253368.0770785
2023-06-22,biconomy,774124857.0786197
2023-06-23,biconomy,655201176.9609244
2023-06-24,biconomy,888508417.5316123
2023-06-25,biconomy,702457319.1023288
2023-06-26,biconomy,702035292.8850918
2023-06-27,biconomy,717730813.0437437
2023-06-28,biconomy,741389031.9438399
2023-06-29,biconomy,716673722.7478921
2023-06-30,biconomy,745338837.336529
2023-07-01,biconomy,780987557.8294721
2023-07-02,biconomy,690971882.7562338
2023-07-03,biconomy,724447618.466566
2023-07-04,biconomy,763860578.083507
2023-07-05,biconomy,700502786.6661108
2023-07-06,biconomy,705874926.5419416
2023-07-07,biconomy,762367695.3426512
2023-07-08,biconomy,691725436.1476616
2023-07-09,biconomy,680205385.1167768
2023-07-10,biconomy,598479249.3109639
2023-07-11,biconomy,571614022.7622464
2023-07-12,biconomy,529415203.157827
2023-07-13,biconomy,540892417.4026512
2023-07-14,biconomy,653116425.5851829
2023-07-15,biconomy,605063526.1633608
2023-07-16,biconomy,552582382.6271329
2023-07-17,biconomy,544753316.847513
2023-07-18,biconomy,565345460.5884111
2023-07-19,biconomy,550889237.4266056
2023-07-20,biconomy,542380269.9155366
2023-07-21,biconomy,573457219.2630193
2023-07-22,biconomy,526934078.6692443
2023-07-23,biconomy,463358540.81474
2023-07-24,biconomy,465227930.3412823
2023-07-25,biconomy,486170737.9521813
2023-07-26,biconomy,465624760.0153391
2023-07-27,biconomy,428529890.50536686
2023-07-28,biconomy,402441014.11375153
2023-07-29,biconomy,432804970.80134
2023-07-30,biconomy,469217896.1647656
2023-07-31,biconomy,483980287.0471231
2023-08-01,biconomy,499265468.3931584
2023-08-02,biconomy,518689890.9395841
2023-08-03,biconomy,512568166.2493259
2023-08-04,biconomy,484131893.436216
2023-08-05,biconomy,482061568.4949278
2023-08-06,biconomy,474684112.6933221
2023-08-07,biconomy,472632210.2256488
2023-08-08,biconomy,478260678.1488897
2023-08-09,biconomy,498983810.03652745
2023-08-10,biconomy,479903618.8403594
2023-08-11,biconomy,462242594.2097272
2023-08-12,biconomy,463908816.0859988
2023-08-13,biconomy,454063998.888937
2023-08-14,biconomy,460537121.7953282
2023-08-15,biconomy,462703220.6739516
2023-08-16,biconomy,472395010.4739728
2023-08-17,biconomy,627307489.6782436
2023-08-18,biconomy,743417528.6802355
2023-08-19,biconomy,624402561.8210019
2023-08-20,biconomy,533180285.0555001
2023-08-21,biconomy,520341921.1164385
2023-08-22,biconomy,546366051.0685478
2023-08-23,biconomy,480740713.54451394
2023-08-24,biconomy,444505056.6186519
2023-08-25,biconomy,418097147.3107568
2023-08-26,biconomy,406628783.33809227
2023-08-27,biconomy,403262402.6042253
2023-08-28,biconomy,385300118.1380298
2023-08-29,biconomy,340455622.42646784
2023-08-30,biconomy,530256766.3114425
2023-08-31,biconomy,392694632.2494412
2023-09-01,biconomy,426837147.8123882
2023-09-02,biconomy,406158163.48226446
2023-09-03,biconomy,320919379.0397806
2023-09-04,biconomy,337458128.830346
2023-09-05,biconomy,348993768.1683403
2023-09-06,biconomy,334061926.46827525
2023-09-07,biconomy,346173355.88464224
2023-09-08,biconomy,376028052.95279735
2023-09-09,biconomy,346929590.3512865
2023-09-10,biconomy,309973068.33261925
2023-09-11,biconomy,327884301.5594341
2023-09-12,biconomy,416929303.5616803
2023-09-13,biconomy,383461300.56392366
2023-09-14,biconomy,373905288.09031904
2023-09-15,biconomy,376057324.5848339
2023-09-16,biconomy,354972206.22658795
2023-09-17,biconomy,308886664.16917515
2023-09-18,biconomy,327279421.8945415
2023-09-19,biconomy,388742000.2438289
2023-09-20,biconomy,389243232.29235655
2023-09-21,biconomy,368537708.1879757
2023-09-22,biconomy,365656078.1998779
2023-09-23,biconomy,313598070.1577548
2023-09-24,biconomy,391025975.6841164
2023-09-25,biconomy,386588067.3059502
2023-09-26,biconomy,383565050.01355946
2023-09-27,biconomy,348827364.0746437
2023-09-28,biconomy,457018226.2796912
2023-09-29,biconomy,495157198.3970198
2023-09-30,biconomy,408291734.1434459
2023-10-01,biconomy,336749519.0808827
2023-10-02,biconomy,469313612.2481336
2023-10-03,biconomy,570983112.0917939
2023-10-04,biconomy,446315767.2908986
2023-10-05,biconomy,410907675.2010226
2023-10-06,biconomy,425362896.8338533
2023-10-07,biconomy,448138553.4389037
2023-10-08,biconomy,347058911.1065379
2023-10-09,biconomy,353302309.11861134
2023-10-10,biconomy,436285724.7940521
2023-10-11,biconomy,404297630.9733301
2023-10-12,biconomy,413336455.6144188
2023-10-13,biconomy,359897451.540458
2023-10-14,biconomy,372966567.3637594
2023-10-15,biconomy,299776710.9392643
2023-10-16,biconomy,462639176.9287868
2023-10-17,biconomy,635697245.7835724
2023-10-18,biconomy,479879003.1306892
2023-10-19,biconomy,405220857.44241697
2023-10-20,biconomy,477910284.082268
2023-10-21,biconomy,529006498.4268738
2023-10-22,biconomy,438749466.9967612
2023-10-23,biconomy,475108741.7627624
2023-10-24,biconomy,959167632.7214532
2023-10-25,biconomy,787733477.6540577
2023-10-26,biconomy,647700009.8555487
2023-10-27,biconomy,593798224.10175
2023-10-28,biconomy,520143675.6192941
2023-10-29,biconomy,386864402.4291912
2023-10-30,biconomy,427339863.90742826
2023-10-31,biconomy,506558635.84184855
2023-11-01,biconomy,489755873.83314186
2023-11-02,biconomy,675597144.9437019
2023-11-03,biconomy,582593821.313468
2023-11-04,biconomy,513131252.94036216
2023-11-05,biconomy,449332813.3492264
2023-11-06,biconomy,510999590.965705
2023-11-07,biconomy,500975244.619693
2023-11-08,biconomy,549561850.5945916
2023-11-09,biconomy,582730727.1869841
2023-11-10,biconomy,835514679.1668394
2023-11-11,biconomy,648042166.4149348
2023-11-12,biconomy,535381930.49535954
2023-11-13,biconomy,518210667.5876951
2023-11-14,biconomy,597608522.7953919
2023-11-15,biconomy,656042095.8567213
2023-11-16,biconomy,678965192.0128574
2023-11-17,biconomy,679093798.1894999
2023-11-18,biconomy,587915135.5271387
2023-11-19,biconomy,465067638.1832965
2023-11-20,biconomy,491595403.01307726
2023-11-21,biconomy,598289530.9301217
2023-11-22,biconomy,698532659.8079869
2023-11-23,biconomy,600070161.3409548
2023-11-24,biconomy,494122111.7862345
2023-11-25,biconomy,603026767.0911708
2023-11-26,biconomy,420483438.0507046
2023-11-27,biconomy,513408385.4832265
2023-11-28,biconomy,553852081.108401
2023-11-29,biconomy,558238530.1064975
2023-11-30,biconomy,550113614.0991557
2023-12-01,biconomy,499497178.4311407
2023-12-02,biconomy,553043172.645211
2023-12-03,biconomy,520683468.0486026
2023-12-04,biconomy,587616276.4198672
2023-12-05,biconomy,749156306.2477653
2023-12-06,biconomy,796311624.303098
2023-12-07,biconomy,689626616.3849374
2023-12-08,biconomy,681968629.0206038
2023-12-09,biconomy,645508554.6735017
2023-12-10,biconomy,571864143.8260998
2023-12-11,biconomy,651028083.0381402
2023-12-12,biconomy,731700142.9817663
2023-12-13,biconomy,635705626.0857111
2023-12-14,biconomy,616718883.7459915
2023-12-15,biconomy,468441617.0474394
2023-12-16,biconomy,409162834.7364834
2023-12-17,biconomy,365478798.1381362
2023-12-18,biconomy,398883488.4922143
2023-12-19,biconomy,453432800.6653045
2023-12-20,biconomy,430817865.8882546
2023-12-21,biconomy,351786125.1387867
2023-12-22,biconomy,366601641.6910532
2023-12-23,biconomy,347406856.6284779
2023-12-24,biconomy,321056005.31725144
2023-12-25,biconomy,305552568.68165964
2023-12-26,biconomy,345146734.03041506
2023-12-27,biconomy,401941675.751255
2023-12-28,biconomy,436025730.96458185
2023-12-29,biconomy,396214585.547038
2023-12-30,biconomy,356651990.3584791
2023-12-31,biconomy,252052789.52903065
2024-01-01,biconomy,264768297.8274069
2024-01-02,biconomy,328728343.0149102
2024-01-03,biconomy,548554059.253329
2024-01-04,biconomy,555957833.2841203
2024-01-05,biconomy,424707496.872596
2023-01-07,binance,8808015014.726425
2023-01-08,binance,4398311520.315095
2023-01-09,binance,9584104539.122742
2023-01-10,binance,13502186248.882343
2023-01-11,binance,11455604600.157013
2023-01-12,binance,15376413376.112207
2023-01-13,binance,19732184821.576523
2023-01-14,binance,24655468708.77312
2023-01-15,binance,20904277770.761936
2023-01-16,binance,14881403366.887665
2023-01-17,binance,16690895479.67636
2023-01-18,binance,16071780453.899996
2023-01-19,binance,20158242644.29012
2023-01-20,binance,13895924683.622368
2023-01-21,binance,20540375214.004192
2023-01-22,binance,21228635463.37653
2023-01-23,binance,17961755457.648438
2023-01-24,binance,19828084378.248787
2023-01-25,binance,19734511092.50278
2023-01-26,binance,22001659294.11299
2023-01-27,binance,19465043798.82418
2023-01-28,binance,17519055061.727955
2023-01-29,binance,12944141052.746471
2023-01-30,binance,18372241760.94569
2023-01-31,binance,20940130242.562817
2023-02-01,binance,16722281149.519094
2023-02-02,binance,22358961257.258743
2023-02-03,binance,22254705072.495663
2023-02-04,binance,20500584865.826626
2023-02-05,binance,12893068102.856491
2023-02-06,binance,18004102523.337536
2023-02-07,binance,17516277159.791225
2023-02-08,binance,21823438117.55846
2023-02-09,binance,23262926888.50828
2023-02-10,binance,24702995398.45428
2023-02-11,binance,18629033021.90486
2023-02-12,binance,11443469668.22791
2023-02-13,binance,14680831299.27817
2023-02-14,binance,19942053628.36736
2023-02-15,binance,21015055965.70492
2023-02-16,binance,24500029616.95424
2023-02-17,binance,29008098481.26754
2023-02-18,binance,25094584941.516907
2023-02-19,binance,13625327854.89781
2023-02-20,binance,21976335594.532265
2023-02-21,binance,22103298110.00454
2023-02-22,binance,25101030559.17102
2023-02-23,binance,21209572174.38999
2023-02-24,binance,20237648367.23374
2023-02-25,binance,19229398164.15353
2023-02-26,binance,11159934938.49798
2023-02-27,binance,11506308068.934868
2023-02-28,binance,15101694931.301714
2023-03-01,binance,15535814570.707031
2023-03-02,binance,15681207040.416033
2023-03-03,binance,19474447399.299664
2023-03-04,binance,12263894875.906357
2023-03-05,binance,9100076217.96054
2023-03-06,binance,8250376488.624036
2023-03-07,binance,10021052529.075756
2023-03-08,binance,15213678054.562078
2023-03-09,binance,13883987982.29624
2023-03-10,binance,23753414261.17074
2023-03-11,binance,25876706921.34003
2023-03-12,binance,17697743610.305355
2023-03-13,binance,23714541160.407127
2023-03-14,binance,31128084057.602024
2023-03-15,binance,36148943989.97613
2023-03-16,binance,28671506130.569942
2023-03-17,binance,23457129514.18764
2023-03-18,binance,32345241173.152485
2023-03-19,binance,19927781075.468933
2023-03-20,binance,24967849905.33197
2023-03-21,binance,25575129860.31257
2023-03-22,binance,23164589032.18027
2023-03-23,binance,18355775586.795254
2023-03-24,binance,14315795771.897152
2023-03-25,binance,10581016259.141106
2023-03-26,binance,6671782603.330663
2023-03-27,binance,7169004458.893677
2023-03-28,binance,11360440944.55782
2023-03-29,binance,9895269751.58814
2023-03-30,binance,13937866235.400503
2023-03-31,binance,10762754258.060623
2023-04-01,binance,10183542610.038765
2023-04-02,binance,6300614717.177974
2023-04-03,binance,7966690356.757383
2023-04-04,binance,12439361552.256824
2023-04-05,binance,10462642416.855473
2023-04-06,binance,9243310735.619667
2023-04-07,binance,7610001730.034047
2023-04-08,binance,6021396198.584119
2023-04-09,binance,6919636606.847263
2023-04-10,binance,7144459251.234661
2023-04-11,binance,11353692894.23534
2023-04-12,binance,10198297909.310204
2023-04-13,binance,10556123355.969532
2023-04-14,binance,13654657914.304031
2023-04-15,binance,13442006951.145258
2023-04-16,binance,7808794647.312392
2023-04-17,binance,10159729423.983948
2023-04-18,binance,11034290051.115648
2023-04-19,binance,11605527125.216717
2023-04-20,binance,15840867086.10171
2023-04-21,binance,11863050911.593418
2023-04-22,binance,11283830504.880869
2023-04-23,binance,6223912580.9516325
2023-04-24,binance,6596619780.523878
2023-04-25,binance,8108136687.559398
2023-04-26,binance,9269497651.631758
2023-04-27,binance,17639959727.513336
2023-04-28,binance,10592915258.947742
2023-04-29,binance,8071957154.748875
2023-04-30,binance,4749193136.918305
2023-05-01,binance,9112964854.181265
2023-05-02,binance,7270654333.221164
2023-05-03,binance,7734083255.340094
2023-05-04,binance,10068795493.48113
2023-05-05,binance,7033743355.639199
2023-05-06,binance,9435638487.802734
2023-05-07,binance,7757442331.605175
2023-05-08,binance,6986147902.426591
2023-05-09,binance,8853093189.209291
2023-05-10,binance,6355785776.552194
2023-05-11,binance,10637575024.382242
2023-05-12,binance,9006389502.671764
2023-05-13,binance,7902406987.023412
2023-05-14,binance,4098624850.012817
2023-05-15,binance,5146432949.59339
2023-05-16,binance,6105969507.256526
2023-05-17,binance,5984352634.577063
2023-05-18,binance,7534629396.840899
2023-05-19,binance,7123641784.873426
2023-05-20,binance,5194559000.574469
2023-05-21,binance,3296991002.094714
2023-05-22,binance,4465126925.083269
2023-05-23,binance,6586904519.431407
2023-05-24,binance,6587986165.691403
2023-05-25,binance,8566447896.772335
2023-05-26,binance,6382769126.045032
2023-05-27,binance,5926504295.324137
2023-05-28,binance,4583596654.719416
2023-05-29,binance,7828070079.755298
2023-05-30,binance,6400778063.345679
2023-05-31,binance,8496727538.350615
2023-06-01,binance,7771421585.570937
2023-06-02,binance,7078067037.954435
2023-06-03,binance,6518060301.95402
2023-06-04,binance,4130739003.159873
2023-06-05,binance,6617152369.999559
2023-06-06,binance,11825996099.801582
2023-06-07,binance,10939562423.449043
2023-06-08,binance,9085564832.400496
2023-06-09,binance,5732464839.403564
2023-06-10,binance,9931453166.056011
2023-06-11,binance,8580487356.526684
2023-06-12,binance,5659153351.994167
2023-06-13,binance,6363196887.920288
