,timestamp,longOpenInterest,shortOpenInterest
0,1700524800,27635418552965754979185777122319104409,4787024571042068790995240880557993673
1,1700438400,26389785475888968456414215682422599861,8783339128986834439773195759487003365
2,1700352000,26172363199156328681028076741230493339,6425444757858930533230470955131903962
3,1700265600,28024036258879787766465128990891541939,6272636889468709992174251740960918958
4,1700179200,34826319371474067773062240143121370281,4919779224919209562875861702345415153
5,1700092800,36148746107896519499777519170603140140,24853511393108247116459405683205494943
6,1700006400,76022842600072914515014528636309785309,1882519270094286242484203521477201346
7,1699920000,60174220145345614738324805572423992188,4079638800555817291403613346984614227
8,1699833600,74189323030826897448814753264329663826,3417447572092965015267965655668165903
9,1699747200,59686659281315452478246860437963379607,4110891788579111687008418361924384902
10,1699660800,71696656776244652094541968423212163866,2536993622499700900680971693094280455
11,1699574400,52407100561943711448104224483559338563,4536682667449367479651336182371249885
12,1699488000,64109341150602332222033364324656953693,3873797134968166373253192327637684776
13,1699401600,64218494783293785124888063605880113752,7219089367571611841504571670241571739
14,1699315200,63013289059014663091673083978630225899,10018839219631984556987067769943386431
15,1699228800,67350548350290441437736434349587846649,9720453950909801355526985979047997354
16,1699142400,60441515444874731561281011886416059847,9848074052782877797587159286906239071
17,1699056000,64664459046668571865717857734273818535,10469506103317374291271659103898191669
18,1698969600,64873286469166765174938540159256711626,10228848012974162181080110010877505651
19,1698883200,68394159425449756072720853235072667866,9474391663849836688366443366509932858
20,1698796800,62246643707030965131855391467959941610,10428613458302641940705437358718375669
21,1698710400,75481164558709450532439735402580502326,11127361114960441751193197984091738259
22,1698624000,77281243759764998468033630906271029859,10013850380018613976396813830148775031
23,1698537600,74635531609934694643423670973590618679,12790627925573926036337358680866505658
24,1698451200,70780336008166896945559855823344004171,11305962368444452750227714833595954719
25,1698364800,68927737791040345848826651900005530167,10415319097229377381426971672114026994
26,1698278400,61860800581097152382682888511593052164,10602485642294896765992507468085423837
27,1698192000,70112299520755970938810546238333471232,5997208663115714824749050851492910709
28,1698105600,66790987400855918406523683439862394098,5848983401771967561002326546346590062
29,1698019200,59281110255760229046116246835916110136,28948576715597538656380833650865858913
30,1697932800,90664241991512495612889764118737039613,10911659826968557690115361084977385148
31,1697846400,84913287777383715056760391755693125595,9832007698720647125566021702621656867
32,1697760000,60474285727675626378521387754337777413,10199659939996663849844976874061091824
33,1697673600,70552536443660231956382176278844029139,15814022141347454979523933166907115725
34,1697587200,74692938949476053912622862333439797398,15499631673485837069453899180349097466
35,1697500800,84816306089672224018079860389682395832,15686450529337724862471471891823133647
36,1697414400,73556297684350460641329504235302839979,15570299120055970872431387422646596997
37,1697328000,77311378456026075782480290318814718061,18865038621340595556817367998651445415
38,1697241600,76200092939390440882356577044024129775,20491453252707643726464532329786972531
39,1697155200,77726253104688959038256242787251093526,19463309236025804655935808643183495183
40,1697068800,75667591217421031307503251061727943878,22528216676341564354648170757264542194
41,1696982400,73145448523245457105275799226367002052,17929362810659409870812143831921808611
42,1696896000,76360800018852243598566828616926290972,16980845083782989337316662356566743281
43,1696809600,76072240365097965703255193531461401890,16579393580054320043633847051865426625
44,1696723200,72769918031306146242895897327475340787,25047331472173995399705799498303554406
45,1696636800,72753784739117052547880052109775636646,20290228391965072861778791374294027324
46,1696550400,73046194169361180563005653489847394776,17737572350690017857407177179025869413
47,1696464000,61437893613874218295643154390252614251,17727632470497960305013621683220609924
48,1696377600,61065990370290987082290886200304415636,18608893796178686836354666306415180695
49,1696291200,58483788642292332572415368758118753496,19621837664276168788781111583616045775
50,1696204800,61315047533678375168983315930913856010,18185904035098476855677922125257586555
51,1696118400,70954117186151348911511970960133229193,19581673957439708680032197277315494613
52,1696032000,73255184302651430417373480261797597852,16573429088621238181213891467691356624
53,1695945600,70204947245857808399641822648507574072,16417368725498265089095302557875786304
54,1695859200,69340631024645624814602668684404875787,16935631698867688897550187831770579383
55,1695772800,63122083352191115054073861124873548464,12363724793048719986792085487058772359
56,1695686400,62880158271233184990837575980444875513,12961764066651024438503499025556529518
57,1695600000,63233630644580080004742482801592379920,11774251522229435819157281470819465938
58,1695513600,61776975653175147608007957825842419844,12296792113807887128422631870430397161
59,1695427200,62384993111267589263640226779364267944,12427674446129561352487682938707402390
60,1695340800,60590599122348309141587604378389589349,12706255521582461299555688443366771810
